unshorn_fetlocks,0,48969,"shire_hooves,fluffy_fetlocks,fluffy_hooves,fluffy_hoofies,fetlocks,fetlock"
collar,0,48871
cleavage,0,47684
foal,0,47408,foals
bondage,0,47278
sexy,0,47257
armpits,0,47184,armpit
one_eye_closed,0,46798
creampie,0,46619,cum_inside
belly,0,46303,"gut,tummy"
bow,0,45955,bows
signature,0,45929,artist_signature
happy,0,45472
freckles,0,45460
ear_piercing,0,45421,"pierced_ear,pierced_ears,ear_piercings"
book,0,44408,books
cloud,0,44390,clouds
clitoris,0,43093,clit
blowjob,0,42722,"blow_job,fellatio"
portrait,0,42635,"headshots,headshot"
makeup,0,42134,make_up
shirt,0,41986,shirts
weapon,0,41956,weapons
wingding_eyes,0,41899
sweat,0,41735,"sweaty,sweating"
fangs,0,41204,fang
older,0,41178,"grown_up,aged_up"
speech_bubble,0,41156,"text_bubble,speech_bubbles,word_balloon"
flower,0,40599,flowers
image_macro,0,40344
swimsuit,0,40078,"swim_suit,swimsuits,swimwear,bathing_suit"
costume,0,39794,costumes
telekinesis,0,39771,magic_hold
alternate_hairstyle,0,38790,"alternative_hairstyle,different_hairstyle,alternate_mane_style,alternate_manestyle"
night,0,38732,"night_time,nighttime"
ych_result,0,38409,finished_ych
hug,0,38329,"hugging,hugs"
gay,0,37954,"male_on_male,homosexual,male/male,m/m,gay_couple,yaoi"
mane_six,0,37931,"main_cast,mane6,mane_cast,mane_6,m6"
regalia,0,37653
anal,0,37416,"anal_sex,buttsex,anal_penetration,buttstuffed"
pegasus_oc,0,37345
anthro_oc,0,37250
angry,0,37211,"mad,anger,pissed,pissed_off,aww_she_mad,angery"
alicorn_oc,0,36972
frown,0,36892,frowning
anatomically_correct,0,36801,"equine_vulva,equine_pussy,horsecunt,anatomically_correct_pussy,mare_cunt,pony_pussy,equine_vagina,mare_pussy,marecunt"
tumblr,0,36362
prone,0,36052,"lying_on_stomach,on_belly,lying_on_belly,laying_on_stomach,on_stomach,laying_on_belly,couchant"
canon_x_oc,0,35743,"ocxcanon,oc_x_canon,oc_and_canon,canon_character_x_oc,ocxcannon,canonxoc"
solo_male,0,35721,"male_solo,solo_male_explicit,solo_male_focus"
barefoot,0,35606,"bare_feet,boots_removed,barefeet"
looking_at_each_other,0,35604,looking_at_eachother
presenting,0,35525
holiday,0,35477,holidays
drool,0,35411,"slobber,saliva,drooling"
on_back,0,35053,"laying_on_back,lying_on_back,supine,lying_back,laying_back"
unicorn_twilight,0,34966
large_butt,0,34930,"large_plot,big_booty,big_ass,big_butt,large_ass,badonkadonk,big_butts"
ahegao,0,34817,"fucked_silly,orgasm_face,o_face"
duo_female,0,34690,two_females
sex_toy,0,34598,"sextoy,sex_toys"
boots,0,34261
base_used,0,34145,"base_edit,used_with_a_base,bases_used"
rule_63,0,33937,"gender_swap,genderswapped,r63,genderbend,genderflip,gender_bender,genderswap,gender_bent,genderbent"
open_smile,0,33924
earring,0,33837,"earings,earing,earrings,ear_ring,ear_rings"
exploitable_meme,0,33735
wink,0,33519,";),winking"
cosplay,0,33490,cosplayer
necklace,0,33345
kissing,0,33166,kiss
interspecies,0,32926,interspecies_love
spreading,0,32900,spread
cumming,0,32744,"ejaculating,jizzing,cum_shot,cumshot,ejaculation"
scarf,0,32569,"winter_scarf,scarves"
unicorn_oc,0,32381
areola,0,32206,areolae
blood,0,31973
moon,0,31954,the_moon
armor,0,31840,"armour,armored"
sad,0,31746
wide_hips,0,31515,"dem_hips,thicc_hips,large_hips,big_hips"
eyeshadow,0,31496,"eye_shadow,eyshadow"
spread_legs,0,31399,"legs_opened,spreading_legs,opened_legs,open_legs,legs_open,legs_spread"
plushie,0,31296,"stuffed_toy,custom_plush,stuffed_animals,plush_toy,plush,plushies,pushie,stuffed_animal"
crotchboobs,0,31292,"big_teats,crotch_tiddies,crotchtits,crotch_breasts,crotch_titties,crotchboob,crotch_teats,crotch_tits"
crown,0,30794
looking_back_at_you,0,30774
gloves,0,30753,glove
heart_eyes,0,30722,"heart_iris,heart_shaped_pupils,heart_pupils,hearts_embedded_in_eyes"
solo_focus,0,30456
digital_art,0,30384,digital_media_(artwork)
bat_pony_oc,0,30244,batpony_oc
partial_nudity,0,30237,"partially_clothed,partial_clothing"
